id,titulo,slug,sinopsis,categoria,episodios,generos
2918,3-nen Z-gumi Ginpachi-sensei,3-nen-z-gumi-ginpachi-sensei,El anime derivado de Gintama sigue a Ginpachi Sakata como profesor en la Escuela Secundaria Gintama.,TV Anime,0,
877,#Compass 2.0: Sentou Setsuri Kaiseki System,compass-20-sentou-setsuri-kaiseki-system,"En el sistema de análisis de combate ""COMPASS2.0"", los héroes se reúnen junto a sus compañeros humanos en un espacio onírico. Para mantener el sistema en funcionamiento, deben luchar sin descanso y generar suficiente energía. Sin embargo, uno de ellos, el héroe 13, es un alborotador que se niega a encontrar un compañero. Justo cuando está a punto de ser expulsado, un nuevo jugador llamado Jin acepta unirse a él. ¿Serán capaces de devolver la paz al mundo de #COMPASS2.0?",TV Anime,0,
329,Übel Blatt,ubel-blatt,"Los rumores se propagan por toda la tierra: cuando el portador de la espada negra desenvaina su oscura hoja, ¡todos los que se interpongan en su camino son destrozados...! Köinzell, el misterioso joven que porta la espada negra, indudablemente la maneja con una habilidad excepcional, pero ¿puede realmente ser responsable de los sangrientos rumores? Perseguido por las Lanzas Traidoras, cuatro poderosos guerreros que se creía habían sido derrotados por los Siete Héroes, la fuerza del joven espadachín será puesta a prueba hasta sus límites. Al final de la batalla, solo la impactante verdad de la búsqueda de Köinzell se erguirá sobre los cadáveres de sus enemigos... ¡Una épica fantasía a la más grande escala! ",TV Anime,0,
2,2.5-jigen no Ririsa,25-jigen-no-ririsa,"Después de una desastrosa confesión romántica, Masamune Okumura encuentra consuelo en el mundo ficticio del anime y el manga. Ahora, como estudiante de segundo año de secundaria y presidente del Club de Investigación de Manga, Masamune lleva una existencia pacífica viendo las aventuras del ángel Liliel, su personaje favorito.

Al inicio del año académico, la vida de Masamune da un giro inesperado cuando conoce a Ririsa Amano, una estudiante de primer año y apasionada practicante del cosplay. A pesar de la reticencia inicial de Masamune, la decidida joven logra convencerlo para que se convierta en su fotógrafo personal para la producción de una colección dedicada a su personaje favorito en común: Liliel.

A medida que Masamune descubre con entusiasmo el mundo del cosplay y la edición de fotos, se reencuentra inesperadamente con su amiga de la infancia, Mikari Tachibana, quien se ha convertido en modelo con la esperanza de impresionar a su querido compañero de clase. Al darse cuenta de que el modelaje no es suficiente para intrigar al desesperado otaku, Mikari decide unirse al club y convertirse ella misma en cosplayer, todo para tener finalmente una oportunidad de conquistar el corazón de Masamune. Sin embargo, el amor de Masamune por los personajes ficticios puede que no sea capaz de extenderse a aquellos que los representan. ",TV Anime,0,
113,[Oshi no Ko] 2nd Season,oshi-no-ko-2nd-season,"Con la ayuda del productor Masaya Kaburagi, Aquamarine ""Aqua"" Hoshino y Kana Arima han conseguido los papeles de Touki y Tsurugi en la adaptación teatral de la popular serie de manga Tokyo Blade, a cargo de la Lala Lai Theatrical Company. Junto a ellos, está la novia de Aqua, Akane Kurokawa, quien interpreta a la prometida de Touki, la Princesa Saya. Debido a que los fanáticos prefieren a Tsurugi como el interés amoroso de Touki, Saya ha aparecido cada vez menos en el manga, lo que dificulta que Akane se sumerja por completo en su papel. Sus dificultades se ven agravadas por las diferencias entre el guion de la obra y la obra original, diferencias que también frustran al autor de Tokyo Blade, Abiko Samejima.

Sin embargo, Aqua está más preocupado por sus objetivos personales que por la obra misma. Solo tiene un objetivo en mente: acercarse al director Toshirou Kindaichi y descubrir lo que sabe sobre la madre de Aqua, Ai.",TV Anime,0,
124,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,30-sai-made-doutei-dato-mahoutsukai-ni-nareru-rashii,"Cuando el insignificante trabajador de oficina Kiyoshi Adachi cumple 30 años, descubre que ha adquirido la habilidad de leer mentes simplemente por haber permanecido virgen durante toda su vida. Sin embargo, el inconveniente es que debe hacer contacto físico con una persona para saber lo que está pensando. Adachi cree que no hay un uso real para este poder hasta que accidentalmente escucha los pensamientos de su compañero de trabajo, Yuuichi Kurosawa.

Carismático y confiable, Kurosawa es la estrella del equipo de Adachi en el trabajo, ganándose los elogios y la admiración de todos en la oficina. Pero en su interior, Kurosawa alberga un intenso enamoramiento unilateral hacia el sombrío Adachi, un hecho que Adachi solo descubre gracias a su habilidad, y una verdad que intenta ignorar con respeto. A medida que Kurosawa trata a Adachi con la amabilidad y el afecto que nunca ha experimentado antes, Adachi encuentra cada vez más difícil ignorar los sinceros avances de su compañero de trabajo. ",TV Anime,0,
553,16bit Sensation: Another Layer,16bit-sensation-another-layer,"El amor de Konoha Akisato por los juegos bishoujo—un tipo de entretenimiento centrado en las interacciones con chicas hermosas—siempre ha alimentado su aspiración de convertirse en una artista popular. Sin embargo, al conseguir su primer trabajo como subilustradora en la compañía de videojuegos Blue Bell, se enfrenta a la dura realidad que rodea a su género favorito. En 2023, la industria de los juegos bishoujo está dominada por lanzamientos baratos, repetitivos y de bajo esfuerzo, con Blue Bell en el centro del problema.

Después de tropezar con una tienda de juegos vintage y recordar los impresionantes títulos del pasado, Konoha se encuentra de repente en el año 1992—justo cuando la industria de los juegos bishoujo comenzaba a florecer. Konoha lucha por aceptar sus nuevas circunstancias hasta que se une a Alcohol Soft, una pequeña compañía de videojuegos dispuesta a contratarla como ilustradora. Aunque cree que sus habilidades del futuro la impulsarán al éxito, la tecnología y la ilustración son considerablemente anticuadas, y debe adaptarse rápidamente si desea cumplir sus sueños.",TV Anime,0,
2569,5-toubun no Hanayome∽,5-toubun-no-hanayome,Incluyendo historias del manga que no fueron adaptadas en el anime principal.,Especial,0,
1710,[Oshi no Ko],oshi-no-ko,"En el mundo del entretenimiento, las celebridades a menudo muestran versiones exageradas de sí mismas al público, ocultando sus verdaderos pensamientos y luchas detrás de elaboradas mentiras. Los fans se dejan llevar por estas fabricaciones, colmando a sus ídolos con amor y apoyo incondicional, hasta que algo rompe la ilusión. Ai Hoshino, una estrella en ascenso de dieciséis años del grupo de ídolos pop B Komachi, ha cautivado al mundo; sin embargo, cuando anuncia un descanso por preocupaciones de salud, la noticia causa preocupación en muchos.

Como gran fan de Ai, el ginecólogo Gorou Amemiya la anima desde su consulta médica en el campo, deseando poder conocerla en persona algún día. Su deseo se vuelve realidad cuando Ai aparece en su hospital—¡no enferma, sino embarazada de gemelos! Mientras el doctor le promete a Ai que le ayudará a dar a luz a sus hijos de manera segura, se pregunta si este encuentro con la ídolo cambiará para siempre la naturaleza de su relación con ella.",TV Anime,0,
559,4-nin wa Sorezore Uso wo Tsuku,4-nin-wa-sorezore-uso-wo-tsuku,"¿Qué tienen en común un alienígena, un ex-ninja, un débil telépata y un chico que finge ser una chica? Todos son compañeros de clase en la Academia de Chicas Kashihara y ocultan sus verdaderas identidades del mundo. Rikka, Chiyo, Sekine y Tsubasa parecen ser las mejores amigas, pero cada una guarda un monumental secreto que no puede revelar, pase lo que pase. Para seguir disfrazándose de chicas normales de secundaria, cada una de ellas debe inventar formas creativas de ocultar su verdadero yo. Pero eso es más fácil decirlo que hacerlo, ya que las cuatro estudiantes terminan enredadas en numerosas travesuras a lo largo del camino.",TV Anime,0,
560,5-toubun no Hanayome Movie,5-toubun-no-hanayome-movie,"Los esfuerzos de Fuutarou Uesugi como tutor privado de las quintillizas Nakano finalmente están dando sus frutos. El rendimiento académico de las cinco hermanas está mejorando constantemente, y cada una de ellas se acerca más que nunca a cumplir sus respectivos sueños. Sin embargo, parece que Fuutarou se ha convertido en algo más que un maestro para las chicas, quienes lo instan a aclarar sus sentimientos.

El joven indeciso promete tomar una decisión para el final del festival escolar. Sin embargo, la tarea de Fuutarou no será fácil, ya que las hermanas Nakano harán todo lo posible para conquistar su corazón antes de que sea demasiado tarde.",Película,0,
3270,180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,180-byou-de-kimi-no-mimi-wo-shiawase-ni-dekiru-ka,"Desde el delicioso sonido de la masticación en mukbang hasta los susurros relajantes de la actuación de voz, el ASMR ha crecido constantemente en popularidad en los últimos años. Así, muchas personas alrededor del mundo lo disfrutan, y la estudiante de secundaria Akari Sawake no es la excepción. Con sus fieles auriculares, Akari explora las diversas formas en que el ASMR puede estimular sus sentidos y comparte con los demás las abundantes maravillas que puede ofrecer.",TV Anime,0,
